id,title,author,genre,description,rating,date,completed,age,free,link
751642,스캔들,티바 / 도그 / 달콤J,"스토리, 로맨스","당대 최고 인기 여배우의 스캔들의 주인공이 내 남편이라면?남편의 불륜으로 신혼이 파탄난 지우는 기자생활을 접고 미국으로 떠나게 되고, 전 남편이 거절할 수 없는 제안을 건네온다.",9.88,2022.02.15 22:50,TRUE,12세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=751642
52946,스쿨홀릭,신의철,"에피소드, 개그",신선생과 학생들이 함께 울고 웃는대한민국 학교의 유쾌한 일상! 다함께 <스쿨홀릭>에 중독되어 봅시다!,9.89,2012.12.28 23:04,TRUE,전체연령가,TRUE,https://comic.naver.com/webtoon/list?titleId=52946
754873,스크립토리움,Song,"옴니버스, 판타지","신화, 전설, 그리고 우리들의 이야기<미쳐 날뛰는 생활툰> Song 작가 단편선.",9.95,2020.12.23 22:50,TRUE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=754873
721948,스터디그룹,신형욱 / 유승연,"스토리, 액션",우등생을 꿈꾸는 최강 소년의 고교액션활극.공부를 잘 하고 싶지만 애석하게도 싸움 실력에만 재능이 몰빵된 고등학생 윤가민.똥통학교 유성공고에서 스터디그룹을 만드는데….그와 스터디 멤버들의 (진짜로) 피튀기는 입시이야기!,9.96,2022.06.03 22:52,FALSE,15세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=721948
736928,스테어스,옹구,"스토리, 판타지","세상의 끝에는 '월 스테어'가 있고, 그 끝에는 모든 것이 있을 것이다.한계를 넘어 세상의 끝에서 가장 강한 자로 태어나라!",9.56,2021.04.28 23:02,TRUE,12세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=736928
254143,스토커,단우,"스토리, 스릴러",어린 딸이 있는 평범한 주부를 스토킹하는 의문의 남자. 어느 날 집앞에서 그녀의 딸이 유괴당하는 장면을 목격하게 된다.,9.93,2011.07.31 00:12,TRUE,15세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=254143
794743,스토커의 하루,bunny,"스토리, 스릴러",옆집엔 스토커가 살고 윗집엔 미치광이가 산다! 끔찍한 기억의 고시원에서 벗어나 허름한 원룸으로 도망쳐 나온 미대생 ‘김하루’. 이사 온 지 한 달 만에 옆집에는 자살 사건이 발생하고 그 방엔 음침하고 수상해 보이는 여자가 이사 온다. 그러던 어느 날 집으로 돌아온 김하루의 눈앞에 자신의 방에서 식칼을 든 채 서 있는 옆집 여자와 마주치게 되는데… “하루씨… 난 당신을 위해 뭐든 할 수 있어.”,9.89,2022.06.02 22:30,FALSE,15세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=794743
597480,스튜디오 짭쪼롬,오묘,"스토리, 로맨스","백수, 수험생, 방구석폐인, 외국인같은 한국인서로 다른 사람들이 모여 만드는 유쾌한 일상 시트콤!",9.97,2015.03.19 23:11,TRUE,전체연령가,TRUE,https://comic.naver.com/webtoon/list?titleId=597480
758674,스트러글,윤준식 / 백지운,"스토리, 액션",친구의 억울한 죽음 이후 도망치듯 강원도 오지의 대안학교로 간 은가비.그곳에서 비밀스러운 수련법을 받아들이게 되는데... 은가비의 본격적인 복수가 시작된다!,9.2,2021.04.24 23:05,TRUE,15세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=758674
778579,스트릿 워크아웃,장부규,"스토리, 스포츠",한 때는 세계 최고의 비보이라는 꿈을 좇았지만 사고로 인해 꿈과 희망을 모두 잃어버린 고등학생 백동희. 어느 날 우연히 맨몸 운동 소녀 권지니를 만나고 멈춰있던 그의 인생이 다시 움직이기 시작한다.,9.86,2022.06.03 22:51,FALSE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=778579
786537,스파이더맨 단편선,마블 코믹스,"옴니버스, 판타지","어메이징한 거미 영웅의 두 가지 유명 단편을 웹툰으로 만나 본다. 거미에 물린 열다섯 살 소년 피터 파커가 스파이더맨으로 거듭난 최초의 이야기가 현대적 감각으로 재탄생했다. 한편, 의문스러운 불기둥을 조사하던 피터는 우연한 사고로 차원을 넘어 평행우주에 도착하게 되는데…? 스파이더맨, 또 다른 스파이더맨을 만나다!",9.91,2022.01.04 22:30,TRUE,12세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=786537
775723,스퍼맨 : 전하지 못한 이...,하일권,"스토리, 판타지",현자단으로부터 또 한번 인류를 구한 스퍼맨이 이번엔 밀실에 갇혔다?낯선 곳에서 눈을 뜬 스퍼맨에게 닥친 현실은 밀폐된 공간과 사라진 동료들.각종 요상하고 민망한(?) 함정과 트랩을 맞닥뜨린 스퍼맨은 새로운 능력자들을 만나 위기를 해결해가는데... 과연 살아서 이 곳을 탈출할 수 있을 것인가!,9.93,2022.04.15 22:52,TRUE,18세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=775723
674209,스퍼맨 시즌1,하일권,"스토리, 드라마",사랑하는 여자친구와 드디어 첫날밤을 맞게된 김기두갑자기 정체모를 사람들에게 납치되고자신이 슈퍼정자를 가진 능력자라는 얘기를 듣게 되는데...,9.94,2017.01.07 23:12,TRUE,18세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=674209
743720,스퍼맨 시즌2,하일권,"에피소드, 판타지",능력을 잃어버린 스퍼맨 앞에 망상염력능력자가 나타났다.그런데 야한(?) 망상만 가능하다고...?,9.96,2020.04.07 20:45,TRUE,18세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=743720
730259,스퍼맨3: 현자단의 역습,하일권,"에피소드, 드라마",스퍼맨이 돌아왔다! 근데 현자가 되어 돌아왔다!,9.95,2020.04.25 23:05,TRUE,18세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=730259
423383,스페이스 차이나드레스,최봉수 / 원현재,"스토리, 액션",전 우주무술의 본원지 행성 소림에서 벌어지는 코믹 액션 판타지.우주 최강의 막무가내 소녀가 강림했다!,9.88,2015.12.21 23:12,TRUE,15세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=423383
517252,스페이스 킹,박성용,"스토리, 판타지","먼 미래 은하계는 통일되고 대통령 직선제가 시행된다!'아스란영웅전' 박성용 작가 신작, 좌충우돌 SF선거만화 <스페이스 킹>",9.92,2016.03.11 23:06,TRUE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=517252
520598,스펙트럼 분석기,도국,"스토리, 드라마","코미디언과 헤어디자이너, 그들이 만드는 낭만과 꿈의 대화.",9.8,2013.03.31 23:18,TRUE,15세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=520598
756139,스포,이강,"스토리, 스릴러","어느 날 정체를 알 수 없는 괴생명체들과 우주선의 습격으로 모든 일상이 붕괴된다!위기의 순간, 미래를 알려주는 메시지 '스포'가 승호의 머릿속으로 날아오는데...평범한 고등학생이었던 승호는 가족을 찾기 위해서 괴생명체들이 돌아다니는 위험한 도시로 뛰어든다.<감염자> 이강 작가의 신작!",9.91,2022.06.02 22:53,FALSE,18세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=756139
654809,스피릿 핑거스,한경찰,"스토리, 로맨스","평범한 여고생, 알록달록 이상한 그림모임에 들어가다!나만의 색을 찾아 떠나는 모험 이야기!",9.98,2018.09.01 23:29,TRUE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=654809
789645,시간과 사연,콜라베어,"스토리, 로맨스","10년 전, 더할 나위 없이 행복한 시간을 함께 보냈던 사남매와 반지.앞으로도 영원할 거라 생각했던 시간은 갑작스럽게 끝이 났고, 백영은 반지와 멀어지게 된다.둘은 다시 직장에서 재회하게 되지만, 여전히 반지는 백영을 밀어내는데….이에 백영은 반지를 다시 놓치고 싶지 않아 끝까지 그녀에게 다가간다.과연 백영과 반지는 예전처럼 다시 함께 할 수 있을까?",9.83,2022.06.05 22:00,FALSE,15세 이용가,TRUE,https://comic.naver.com/webtoon/list?titleId=789645
